addr	name	kind	module	class	attributed_by	size
00414d40	FUN_00414d40	gamemisc	game_misc	Unsorted_000	none	151
00414de0	FUN_00414de0	gamemisc	game_misc	Unsorted_000	none	151
00414e80	FUN_00414e80	gamemisc	game_misc	Unsorted_000	none	151
00414f20	FUN_00414f20	gamemisc	game_misc	Unsorted_000	none	176
00414fd0	FUN_00414fd0	gamemisc	game_misc	Unsorted_000	none	178
00415090	FUN_00415090	gamemisc	game_misc	Unsorted_000	none	185
00415150	FUN_00415150	gamemisc	game_misc	Unsorted_000	none	155
004151f0	FUN_004151f0	gamemisc	game_misc	Unsorted_000	none	109
00415260	FUN_00415260	gamemisc	game_misc	Unsorted_000	none	112
004152d0	FUN_004152d0	gamemisc	game_misc	Unsorted_000	none	110
00415340	FUN_00415340	gamemisc	game_misc	Unsorted_000	none	132
004153d0	FUN_004153d0	gamemisc	game_misc	Unsorted_000	none	128
00415450	FUN_00415450	gamemisc	game_misc	Unsorted_000	none	128
004154d0	FUN_004154d0	gamemisc	game_misc	Unsorted_000	none	128
00415550	FUN_00415550	gamemisc	game_misc	Unsorted_000	none	121
004155d0	FUN_004155d0	gamemisc	game_misc	Unsorted_000	none	136
00415660	FUN_00415660	gamemisc	game_misc	Unsorted_000	none	114
004156e0	FUN_004156e0	gamemisc	game_misc	Unsorted_000	none	43
00415710	FUN_00415710	gamemisc	game_misc	Unsorted_000	none	50
00415750	FUN_00415750	gamemisc	game_misc	Unsorted_000	none	607
004159b0	FUN_004159b0	gamemisc	game_misc	Unsorted_000	none	330
00415b00	fwd_004078f0_415b00	gamemisc	game_misc	_helpers_thunk	role:thunk	24
00415b20	FUN_00415b20	gamemisc	game_misc	Unsorted_000	none	186
00415be0	FUN_00415be0	gamemisc	game_misc	Unsorted_000	none	176
00415c90	FUN_00415c90	gamemisc	game_misc	_helpers_wrapper	role:wrapper	64
00415cd0	FUN_00415cd0	gamemisc	game_misc	Unsorted_000	none	125
00415d50	FUN_00415d50	gamemisc	game_misc	Unsorted_000	none	119
00415dd0	FUN_00415dd0	gamemisc	game_misc	Unsorted_000	none	1074
00416210	FUN_00416210	gamemisc	game_misc	Unsorted_000	none	1759
004168f0	FUN_004168f0	gamemisc	game_misc	_helpers_wrapper	role:wrapper	50
00416930	compute_416930	gamemisc	game_misc	_helpers_computed	role:computed	10
00416940	MSVCR110.DLL::free	lib	_library	imports	import-ns	6
00416950	FUN_00416950	gamemisc	game_misc	Unsorted_000	none	112
004169c0	FUN_004169c0	gamemisc	game_misc	Unsorted_000	none	82
00416a20	FUN_00416a20	gamemisc	world	Helpers	caller-vote	100
00416a90	FUN_00416a90	gamemisc	world	Helpers	caller-vote	106
00416b00	FUN_00416b00	gamemisc	game_misc	Unsorted_000	none	96
00416b60	fwd_004177e0_416b60	gamemisc	game_misc	_helpers_thunk	role:thunk	25
00416b80	thunk_FUN_00417cc0	gamemisc	game_misc	_helpers_dispatch	role:dispatch	5
00416b90	FUN_00416b90	gamemisc	world	Helpers	caller-vote	65
00416be0	FUN_00416be0	gamemisc	game_misc	Unsorted_000	none	32
00416c00	mutator_416c00	gamemisc	game_misc	_helpers_mutator	role:mutator	21
00416c20	compute_416c20	gamemisc	game_misc	_helpers_computed	role:computed	10
00416c30	FUN_00416c30	gamemisc	game_misc	Unsorted_000	none	27
00416c50	FUN_00416c50	gamemisc	world	Helpers	caller-vote	85
00416cb0	FUN_00416cb0	gamemisc	world	Helpers	caller-vote	66
00416d00	FUN_00416d00	gamemisc	game_misc	Unsorted_000	none	82
00416d60	FUN_00416d60	gamemisc	world	Helpers	caller-vote	256
00416dff	Catch_All@00416dff	lib	_library	eh_funclets	eh	32
