addr	name	kind	module	class	attributed_by	size
0040d540	std::basic_stringbuf<char,std::char_traits<char>,std::allocator<char>_>::vfunction4	lib	_library	stl	stl-ns	452
0040d710	std::basic_filebuf<char,std::char_traits<char>_>::vfunction5	lib	_library	stl	stl-ns	136
0040d7a0	std::basic_stringbuf<char,std::char_traits<char>,std::allocator<char>_>::vfunction5	lib	_library	stl	stl-ns	87
0040d800	FUN_0040d800	gamemisc	engine	Helpers	caller-vote	69
0040d860	FUN_0040d860	gamemisc	engine	_helpers_dtor-like	role:dtor-like	154
0040d910	FUN_0040d910	gamemisc	engine	Helpers	caller-vote	181
0040d9d0	FUN_0040d9d0	gamemisc	game_misc	Unsorted_000	none	146
0040da70	FUN_0040da70	gamemisc	engine	Helpers	caller-vote	84
0040dad0	std::basic_filebuf<char,std::char_traits<char>_>::vfunction11	lib	_library	stl	stl-ns	242
0040dbd0	std::basic_stringbuf<char,std::char_traits<char>,std::allocator<char>_>::vfunction11	lib	_library	stl	stl-ns	449
0040dda0	std::basic_filebuf<char,std::char_traits<char>_>::vfunction12	lib	_library	stl	stl-ns	219
0040de80	std::basic_stringbuf<char,std::char_traits<char>,std::allocator<char>_>::vfunction12	lib	_library	stl	stl-ns	287
0040dfa0	std::basic_filebuf<char,std::char_traits<char>_>::vfunction13	lib	_library	stl	stl-ns	137
0040e030	FUN_0040e030	gamemisc	game_misc	_helpers_dtor-like	role:dtor-like	240
0040e140	fwd_0040e030_40e140	gamemisc	game_misc	_helpers_thunk	role:thunk	31
0040e160	std::basic_filebuf<char,std::char_traits<char>_>::vfunction14	lib	_library	stl	stl-ns	46
0040e190	std::basic_filebuf<char,std::char_traits<char>_>::vfunction8	lib	_library	stl	stl-ns	489
0040e380	std::basic_filebuf<char,std::char_traits<char>_>::vfunction7	lib	_library	stl	stl-ns	61
0040e3c0	std::basic_stringbuf<char,std::char_traits<char>,std::allocator<char>_>::vfunction7	lib	_library	stl	stl-ns	89
